"Position","Team","Foot","Experience","Experience_VFF","Video","Decision","RT"
"Fosvarsspiller","U14","Højre",10,2,"Warmup/Klip_2\Klip_2_2.mp4","link out",21.1096470999764
"Fosvarsspiller","U14","Højre",10,2,"Warmup/Klip_1\Klip_1_1.mp4","link out",11.6893534000264
"Fosvarsspiller","U14","Højre",10,2,"Warmup/Klip_3\Klip_3_1.mp4","highest free man",5.82999390002806
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_85\Klip_85_4.mp4","pass it over",12.5165570999961
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_62\Klip_62_2.mp4","switch play2",17.0356784999603
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_59\Klip_59_1.mp4","highest free man2",22.9721989999525
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_8\Klip_8_2.mp4","switch play",12.0889018999878
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_69\Klip_69_2.mp4","switch play",23.5348387999693
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_23\Klip_23_2.mp4","switch play2",11.2873921999708
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_39\Klip_39_3.mp4","switch play",5.82496740005445
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_70\Klip_70_1.mp4","highest free man",6.10504749999382
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_81\Klip_81_4.mp4","pass it over",11.1015619999962
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_10\Klip_10_1.mp4","link out",5.05844839999918
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_27\Klip_27_1.mp4","highest free man2",4.57624539989047
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_80\Klip_80_3.mp4","switch play2",8.18486989999656
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_21\Klip_21_2.mp4","switch play",18.2381809999933
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_55\Klip_55_2.mp4","link out",12.3045949999942
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_13\Klip_13_1.mp4","highest free man2",19.003774199984
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_71\Klip_71_3.mp4","switch play",10.4923624999356
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_32\Klip_32_3.mp4","false highest free man",20.4467102999333
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_92\Klip_92_3.mp4","switch play2",8.97541950002778
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_30\Klip_30_1.mp4","switch play",4.342010299908
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_38\Klip_38_1.mp4","highest free man",7.40672339999583
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_88\Klip_88_4.mp4","false highest free man",24.422156500048
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_84\Klip_84_4.mp4","false link out ",11.6117694999557
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_22\Klip_22_1.mp4","highest free man",13.9497699999483
"Fosvarsspiller","U14","Højre",10,2,"Pictures/Klip_65\Klip_65_2.mp4","switch play",12.9614479000447
